Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
ELEC,ComEd,3500 N California Ave,,Chicago,IL,60618,,,E,,Private,,,,,,,7,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.94629288,-87.69982,2013-11-30,38850,2014-04-21 18:23:17 UTC,T,,,2010-12-31,,,,,J1772
ELEC,INTERPARK,50 E Ohio St,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8929493,-87.6257475,2014-09-16,36619,2014-09-16 07:45:46 UTC,,,,,,,,,NEMA520 J1772
ELEC,CHARGEPOINT-JNS,210 N Wells St,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8861415,-87.6341576,2014-09-16,63150,2014-09-16 07:52:42 UTC,,,,,,,,,J1772
E85,City of Chicago FS#6,10101 S Stoney Island,101st and Stony Island,Chicago,IL,60617,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.712605,-87.58196,2013-10-31,33084,2014-01-20 18:52:04 UTC,LG,,,2008-06-15,,,,false,
ELEC,Western Avenue Nissan,7410 S Western Ave,,Chicago,IL,60636,,773-776-8200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-8,41.7588594,-87.6831642,2014-04-04,60987,2014-04-04 19:19:41 UTC,P,,,2014-02-01,,,,,J1772
ELEC,CHARGEPOINT-JNS,4730 W Cuyler Ave,,Chicago,IL,60641,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.9543707,-87.746035,2014-09-16,63135,2014-09-16 07:30:47 UTC,,,,,,,,,J1772
ELEC,Western Avenue Nissan,7410 S Western Ave,,Chicago,IL,60636,,773-776-8200,E,,Private,,,,,,,1,,,,,200-8,41.7588594,-87.6831642,2014-04-04,60988,2014-04-04 19:19:41 UTC,P,,,2014-02-01,,,,,J1772
E85,City of Chicago FS#4,3746 S Iron,Iron and 37th,Chicago,IL,60609,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.8257961,-87.6593768,2013-10-31,33089,2014-01-20 18:52:05 UTC,LG,,,2008-10-15,,,,false,
ELEC,CHARGEPOINT-JNS,5802 S Kilpatrick Ave,,Chicago,IL,60629,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.7882767,-87.7408829,2014-09-16,63132,2014-09-16 07:30:38 UTC,,,,,,,,,J1772
CNG,Ozinga Energy - Lumber Street,2242 S Lumber St,2 Blocks East of Cermak and Halsted.,Chicago,IL,60616,,888-656-0141,E,,Public - Card key at all times,24 hours daily; call 888-656-0141 to arrange for card key,,,Q,3600,,,,,,,200-8,41.851903,-87.643101,2014-07-03,52485,2014-09-15 21:10:35 UTC,P,,,2012-09-01,,HD,,,
E85,City of Chicago FS#7,10000 W Montrose,O'Hare Airport,Chicago,IL,60666,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.9594314,-87.8365848,2013-10-31,33088,2014-01-20 18:52:03 UTC,LG,,,2008-06-15,,,,false,
ELEC,SOLDIER FIELD,464-484 E McFetridge Dr,,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8641319,-87.6162033,2014-09-16,57210,2014-09-16 07:50:22 UTC,,,,,,,,,NEMA520 J1772
CNG,University of Illinois at Chicago,1351 S Morgan,Roosevelt and Morgan.,Chicago,IL,60608,,,E,,Private - Government only,,,,B,3600,,,,,,,200-8,41.864057,-87.6506388,2013-12-31,33649,2014-01-20 18:25:35 UTC,SG,,,1998-11-15,,HD,,,
CNG,Peoples Gas,1241 W Division St,,Chicago,IL,60642,,,E,,Private - Fleet customers only,Call 800-920-1166 to set up fueling agreement,,,T,3000 3600,,,,,,,200-8,41.9024726,-87.6587258,2014-08-05,28197,2014-08-05 17:53:41 UTC,T,,,1984-11-15,,MD,,,
ELEC,WINDFREE ENERGY,1540 N Western Ave,,Chicago,IL,60622,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.9096832,-87.6875916,2014-09-16,40999,2014-09-16 07:51:30 UTC,,,,,,,,,J1772
CNG,City of Chicago FS#7,10000 W Montrose Ave,O'Hare Airport,Chicago,IL,60666,,,E,,Private - Government only,,,,Q,3600,,,,,,,GPS,41.963492,-87.882958,2013-10-31,33145,2014-01-20 18:52:05 UTC,LG,,,2008-07-15,,HD,,,
LPG,U-Haul,1650 E 71st St,At Stoney Island,Chicago,IL,60649,,773-493-1206,E,,Public - Call ahead,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",Cash A D M V,,,,,,,,,,200-8,41.7662273,-87.5840203,2013-10-31,19926,2014-03-05 14:17:10 UTC,P,,,,,,false,,
CNG,City of Chicago FS#1,1701 N Throop,Throop and Wabansia,Chicago,IL,60642,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.9138945,-87.6618725,2013-10-31,36307,2014-01-20 18:51:43 UTC,LG,,,2011-12-01,,HD,,,
CNG,Peoples Gas,38 W 64th St,,Chicago,IL,60621,,,E,,Private,,,,B,3000,,,,,,,200-8,41.7776735,-87.6255049,2013-12-31,850,2014-01-20 19:19:02 UTC,T,,,1984-11-15,,MD,,,
E85,Citgo,4070 N Clark St,,Chicago,IL,60613,,773-528-3040,E,,Public,24 hours daily,Cash A D M V Wright_Exp,,,,,,,,,,200-8,41.9562252,-87.6634152,2013-10-31,20844,2014-01-20 19:31:04 UTC,P,,,2000-08-15,,,,false,
ELEC,CHARGEPOINT-JNS,2744 N California Ave,,Chicago,IL,60647,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.9316594,-87.6979454,2014-09-16,40800,2014-09-16 07:30:47 UTC,,,,,,,,,J1772
ELEC,PARKING A,5841 S Maryland Ave,,Chicago,IL,60637,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.7887204,-87.6050198,2014-09-16,60583,2014-09-16 07:34:08 UTC,,,,,,,,,J1772
ELEC,ATC,2125 W North Ave,,Chicago,IL,60647,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.9102278,-87.681258,2014-09-16,57599,2014-09-16 07:55:31 UTC,,,,,,,,,J1772
CNG,Peoples Gas,3955 N Kilpatrick Ave,,Chicago,IL,60641,,,E,,Private,,,,B,3000,,,,,,,200-8,41.952484,-87.743058,2013-12-31,856,2014-01-20 19:17:47 UTC,T,,,1984-11-15,,MD,,,
E85,City of Chicago FS#205,3245 N Campbell,Belmont & Western,Chicago,IL,60618,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.9403513,-87.6905982,2013-10-31,36320,2014-01-20 18:46:29 UTC,LG,,,2012-03-31,,,,false,
E85,Clark Gas for Less,2801 N Damen Ave,,Chicago,IL,60618,,773-528-0461,E,,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,41.9322884,-87.67813249999999,2014-08-05,32958,2014-08-05 17:52:59 UTC,P,,,2008-03-15,,,,false,
ELEC,CHARGEPOINT-JNS,4799 W 54th St,,Chicago,IL,60638,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.794971,-87.7488177,2014-09-16,43153,2014-09-16 07:30:38 UTC,,,,,,,,,J1772
ELEC,CHARGEPOINT-JNS,2301 W Irving Park Rd,,Chicago,IL,60618,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.9537318,-87.68638,2014-09-16,42707,2014-09-16 07:30:27 UTC,,,,,,,,,J1772
ELEC,Walgreens ,5158 N Lincoln,350Green. W Foster Ave & N Lincoln,Chicago,IL,60625,,847-577-3575,P,2014-02-15,PLANNED - not yet accessible (Public), 24 hours daily,,,,,,2,,,,,200-8,41.9757,-87.692813,2013-12-31,43843,2014-04-21 18:25:04 UTC,P,,,,,,,,J1772
ELEC,Zipcar - 30 South Wacker Garage,30 S Wacker Dr,,Chicago,IL,60606,,,E,,Private - Fleet customers only,24 hours daily; pay lot; Zipcar use only,,,,,,1,,,,,200-8,41.88087,-87.6373,2012-11-30,50075,2014-09-03 19:22:31 UTC,P,,,2012-07-01,,,,,J1772
ELEC,INTERPARK,181 N Clark St,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.88541,-87.6306938,2014-09-16,36616,2014-09-16 07:34:10 UTC,,,,,,,,,NEMA520 J1772
ELEC,ATC,1401 W Devon Ave,,Chicago,IL,60660,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.997936,-87.6657065,2014-09-16,42153,2014-09-16 07:55:12 UTC,,,,,,,,,J1772
E85,City of Chicago FS#5,4833 W Sunnyside,Sunnyside and Lamon,Chicago,IL,60630,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.9625136,-87.7490375,2013-10-31,33085,2014-01-20 18:52:02 UTC,LG,,,2008-06-15,,,,false,
E85,Aisha Wash and Fuel Island - Citgo,5549 W Diversey Ave,,Chicago,IL,60639,,773-889-0241,E,,Public,24 hours daily,Cash A D M V Voyager Wright_Exp,,,,,,,,,,200-8,41.931033,-87.765882,2013-10-31,32648,2014-01-20 18:23:54 UTC,P,,,2007-09-15,,,,false,
ELEC,Walgreens - DC Fast,5158 N Lincoln,350Green. W Foster Ave & N Lincoln,Chicago,IL,60625,,855-350-4733,P,2014-04-01,PLANNED - not yet accessible (Public), 24 hours daily,,,,,,,1,,,,200-8,41.9757,-87.692813,2013-04-25,43844,2014-04-21 18:25:04 UTC,P,,,,,,,,CHADEMO
LPG,AmeriGas,310 N Sangamon St,"4 blocks west of Interstate 90/94, 2 blocks north of Lake",Chicago,IL,60607,,312-997-2300,E,,Public,6am-4pm M-F,Cash A D M V,,,,,,,,,,200-8,41.8872821,-87.6511547,2013-02-28,15014,2014-03-05 14:16:42 UTC,P,,,,,,false,,
ELEC,Lake Shore Drive Garage,509 North Peshtigo Court,,Chicago,IL,60611,,800-663-5633,E,,Public - Card key at all times,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,,,,,,1,,,SemaCharge Network,http://www.semacharge.com/,GPS,41.8914045,-87.6151599,2014-09-16,58390,2014-09-16 07:27:00 UTC,,,,,,,,,J1772
ELEC,Former Sears,1334 E 79th St,"350Green. Near S Kenwood and E 79th, just west of I-90",Chicago,IL,60619,,847-577-3574,E,,Public,24 hours daily,,,,,,1,,,,,200-8,41.7515834,-87.5912118,2013-12-31,41459,2014-04-21 18:24:10 UTC,P,,,2011-09-02,,,,,J1772
CNG,Ozinga Energy - Lumber Street,2242 S Lumber St,2 Blocks East of Cermak and Halsted.,Chicago,IL,60616,,888-656-0141,E,,Private,,,,Q,3600,,,,,,,200-8,41.851903,-87.643101,2014-07-03,62312,2014-09-15 21:10:35 UTC,P,,,2012-09-01,,HD,,,
ELEC,Zipcar - McClurg Court Garage,400 N McClurg Ct,350Green. E North Water St & N McClurg Ct,Chicago,IL,60611,,847-577-3575,E,,Private,24 hours daily; pay lot; Zipcar use only,,,,,1,1,,,,,GPS,41.889069,-87.617874,2013-12-31,43145,2014-04-21 18:24:43 UTC,P,,,2012-01-15,,,,,NEMA520 J1772
ELEC,CHARGEPOINT-JNS,1130 S Michigan Ave,,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8684508,-87.6246231,2014-09-16,41463,2014-09-16 07:30:48 UTC,,,,,,,,,J1772
ELEC,635 W GRACE,635 W Grace St,,Chicago,IL,60613,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.9516989,-87.6460687,2014-09-16,60055,2014-09-16 07:34:03 UTC,,,,,,,,,J1772
ELEC,INTERPARK,177 N Wells St,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8853856,-87.6336366,2014-09-16,36617,2014-09-16 07:45:47 UTC,,,,,,,,,NEMA520 J1772

